cod_municipio,municipio,uf,data_competencia,ano,mes,internacoes
350450,AVARE,SP,2025-01-01,2025,1,620
350450,AVARE,SP,2025-02-01,2025,2,618
350450,AVARE,SP,2025-03-01,2025,3,619
350450,AVARE,SP,2025-04-01,2025,4,612
350450,AVARE,SP,2025-05-01,2025,5,607
350450,AVARE,SP,2025-06-01,2025,6,681
350450,AVARE,SP,2025-07-01,2025,7,733
350450,AVARE,SP,2025-08-01,2025,8,695
350450,AVARE,SP,2025-09-01,2025,9,648
350450,AVARE,SP,2025-10-01,2025,10,579
350450,AVARE,SP,2025-11-01,2025,11,600
350450,AVARE,SP,2025-12-01,2025,12,582
350520,BARIRI,SP,2025-01-01,2025,1,131
350520,BARIRI,SP,2025-02-01,2025,2,144
350520,BARIRI,SP,2025-03-01,2025,3,169
350520,BARIRI,SP,2025-04-01,2025,4,176
350520,BARIRI,SP,2025-05-01,2025,5,173
350520,BARIRI,SP,2025-06-01,2025,6,158
350520,BARIRI,SP,2025-07-01,2025,7,189
350520,BARIRI,SP,2025-08-01,2025,8,202
350520,BARIRI,SP,2025-09-01,2025,9,214
350520,BARIRI,SP,2025-10-01,2025,10,213
350520,BARIRI,SP,2025-11-01,2025,11,153
350520,BARIRI,SP,2025-12-01,2025,12,173
350530,BARRA BONITA,SP,2025-01-01,2025,1,181
350530,BARRA BONITA,SP,2025-02-01,2025,2,157
350530,BARRA BONITA,SP,2025-03-01,2025,3,159
350530,BARRA BONITA,SP,2025-04-01,2025,4,179
350530,BARRA BONITA,SP,2025-05-01,2025,5,210
350530,BARRA BONITA,SP,2025-06-01,2025,6,210
350530,BARRA BONITA,SP,2025-07-01,2025,7,214
350530,BARRA BONITA,SP,2025-08-01,2025,8,205
350530,BARRA BONITA,SP,2025-09-01,2025,9,183
350530,BARRA BONITA,SP,2025-10-01,2025,10,184
350530,BARRA BONITA,SP,2025-11-01,2025,11,161
350530,BARRA BONITA,SP,2025-12-01,2025,12,163
350550,BARRETOS,SP,2025-01-01,2025,1,2760
350550,BARRETOS,SP,2025-02-01,2025,2,2511
350550,BARRETOS,SP,2025-03-01,2025,3,2735
350550,BARRETOS,SP,2025-04-01,2025,4,2658
350550,BARRETOS,SP,2025-05-01,2025,5,2686
350550,BARRETOS,SP,2025-06-01,2025,6,2682
350550,BARRETOS,SP,2025-07-01,2025,7,2604
350550,BARRETOS,SP,2025-08-01,2025,8,2892
350550,BARRETOS,SP,2025-09-01,2025,9,2877
350550,BARRETOS,SP,2025-10-01,2025,10,2633
350550,BARRETOS,SP,2025-11-01,2025,11,2930
350550,BARRETOS,SP,2025-12-01,2025,12,2687
350570,BARUERI,SP,2025-01-01,2025,1,2563
350570,BARUERI,SP,2025-02-01,2025,2,2552
350570,BARUERI,SP,2025-03-01,2025,3,3267
350570,BARUERI,SP,2025-04-01,2025,4,3407
350570,BARUERI,SP,2025-05-01,2025,5,3866
350570,BARUERI,SP,2025-06-01,2025,6,3165
350570,BARUERI,SP,2025-07-01,2025,7,3296
